T2   0.897492 0.00897492
T4   0.697346 0.00697346
T6   0.552584 0.00552584
T8   0.447881 0.00447881
T10   0.372151 0.00372151
T12   0.317377 0.00317377
T14   0.27776 0.0027776
T16   0.249106 0.00249106
