T2   1.13751 0.0113751
T4   0.935839 0.00935839
T6   0.790669 0.00790669
T8   0.686169 0.00686169
T10   0.610946 0.00610946
T12   0.556798 0.00556798
T14   0.517819 0.00517819
T16   0.489761 0.00489761
